항목,채널,25년 8월,25년 9월,25년 10월,25년 11월,25년 12월,26년 1월,26년 2월,26년 3월,26년 4월,26년 5월,26년 6월
보관재고,재고원가,"9,617","9,217","8,274","6,615","6,938","4,597","6,500","6,842","6,401","6,629","6,628"
보관료(USD),보관료 / 물류속박비,112,103,122,133,151,117,96,37,103,119,127
연동보관료,재고연동(보관료)%,1.20%,1.10%,1.50%,2.00%,2.20%,2.60%,1.50%,0.54%,1.60%,1.80%,1.92%
