데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_당시즌판매율_발주YOY,,,,,,,,,,,,,,,,,48%,48%,48%
카드_당시즌판매율_판매YOY,,,,,,,,,,,,,,,,,51%,,55%
카드_당시즌판매율_아이템_트랙자켓_값,"5,851","5,851","5,851","5,851","5,851","5,851","8,404","8,404","8,404","8,404","8,404","8,404","8,404","3,330","3,330","3,330","3,330","3,330","3,076"
카드_당시즌판매율_아이템_트랙자켓_비중,216.00%,216.00%,216.00%,216.00%,216.00%,216.00%,226.00%,226.00%,226.00%,226.00%,226.00%,226.00%,226.00%,43.00%,43.00%,43.00%,43.00%,20.00%,20.00%
카드_당시즌판매율_아이템_트랙자켓_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.40%,1.50%,3.30%,14.80%,14.80%,19.10%,2.20%,4.80%,8.00%,12.10%,19.50%,39.00%
카드_당시즌판매율_아이템_트랙팬츠_값,"4,937","4,937","4,937","4,937","4,937","4,937","6,407","6,407","6,407","6,407","6,407","6,407","6,407","2,133","2,133","2,133","2,133","2,133","2,087"
카드_당시즌판매율_아이템_트랙팬츠_비중,225.00%,225.00%,225.00%,225.00%,225.00%,225.00%,219.00%,219.00%,219.00%,219.00%,219.00%,219.00%,219.00%,33.00%,33.00%,33.00%,33.00%,33.00%,12.00%
카드_당시즌판매율_아이템_트랙팬츠_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.70%,2.40%,5.20%,18.00%,18.00%,22.50%,2.90%,6.40%,10.10%,14.50%,21.00%,42.90%
카드_당시즌판매율_아이템_아이템3_이름,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,아이템3,SHORTS,SHORTS,SHORTS
카드_당시즌판매율_아이템_아이템3_값,,,,,,,,,,,,,,,,,"2,782","2,782","2,951"
카드_당시즌판매율_아이템_아이템3_비중,,,,,,,,,,,,,,,,,122%,122%,62%
카드_당시즌판매율_아이템_아이템3_비율,,,,,,,,,,,,,,,,,11.10%,20.70%,44.40%
카드_당시즌판매율_아이템_아이템3_전년,,,,,,,,,,,,,,,,,10.50%,26.80%,50.70%
카드_당시즌판매율_아이템_아이템4_이름,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,아이템4,T-SHIRT,T-SHIRT,T-SHIRT
카드_당시즌판매율_아이템_아이템4_값,,,,,,,,,,,,,,,,,"1,667","1,667","1,671"
카드_당시즌판매율_아이템_아이템4_비중,,,,,,,,,,,,,,,,,75%,75%,70%
카드_당시즌판매율_아이템_아이템4_비율,,,,,,,,,,,,,,,,,10.90%,15.00%,31.70%
카드_당시즌판매율_아이템_아이템4_전년,,,,,,,,,,,,,,,,,11.40%,21.70%,41.10%
카드_당시즌판매율_아이템_아이템5_이름,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,아이템5,POLO,POLO,POLO
카드_당시즌판매율_아이템_아이템5_값,,,,,,,,,,,,,,,,,"1,556","1,556","1,335"
카드_당시즌판매율_아이템_아이템5_비중,,,,,,,,,,,,,,,,,81%,81%,40%
카드_당시즌판매율_아이템_아이템5_비율,,,,,,,,,,,,,,,,,10.50%,33.20%,58.70%
카드_당시즌판매율_아이템_아이템5_전년,,,,,,,,,,,,,,,,,9.90%,36.60%,58.00%
카드_당시즌판매율_아이템_전체발주_값,"22,091","22,091","22,091","22,091","22,091","22,091","19,440","19,440","19,440","19,440","19,440","19,440","19,440","14,601","14,601","14,601","14,601","14,601","14,498"
카드_당시즌판매율_아이템_전체발주_비중,237.00%,237.00%,237.00%,237.00%,237.00%,237.00%,161.90%,161.90%,161.90%,161.90%,161.90%,161.90%,161.90%,49.20%,49.20%,49.20%,49.20%,49.20%,48.00%
카드_당시즌판매율_아이템_전체발주_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.60%,2.00%,4.60%,17.10%,17.10%,19.70%,1.10%,3.10%,6.10%,12.20%,19.20%,39.30%
카드_당시즌판매율_아이템_트랙자켓_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.79%,30.80%,43.20%,1.80%,3.90%,6.70%,9.20%,11.20%,23.30%
카드_당시즌판매율_아이템_트랙팬츠_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.50%,30.50%,43.00%,1.90%,4.00%,6.70%,8.90%,12.80%,24.80%
카드_당시즌판매율_아이템_전체발주_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.40%,30.40%,43.00%,1.20%,3.70%,7.10%,11.70%,17.80%,34.20%
카드_당시즌MU_값,5.3,5.3,5.3,5.3,5.3,5.3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.4,5.4,5.4,5.4,5.4,5.1
카드_당시즌MU_전년비교,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.1,0.1,0.1,0.1,0.1,0.1
카드_당시즌MU_YOY,98%,98%,98%,98%,98%,98%,90%,90%,90%,90%,90%,90%,90%,102%,102%,102%,102%,102%,102%
카드_당시즌MU_아이템_TrackJacket_값,5.5,5.5,5.5,5.5,5.5,5.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.3,5.3,5.3,5.3,5.3,5.5
카드_당시즌MU_아이템_TrackJacket_전년,5.5,5.5,5.5,5.5,5.5,5.5,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.5,5.5,5.5,5.5,5.5,4.9
카드_당시즌MU_아이템_TrackPant_값,5.6,5.6,5.6,5.6,5.6,5.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.9,5.9,5.9,5.9,5.9,5.3
카드_당시즌MU_아이템_TrackPant_전년,5.7,5.7,5.7,5.7,5.7,5.7,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.5,5.5,5.5,5.5,5.5,5.2
카드_당시즌MU_아이템_Knitwear_값,4.8,4.8,4.8,4.8,4.8,4.8,5.3,5.3,5.3,5.3,5.3,5.3,5.3,4.8,4.8,4.8,4.8,4.8,4.8
카드_당시즌MU_아이템_Knitwear_전년,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.8,4.8,4.8,4.8,4.8,4.9
카드_당시즌MU_아이템_T-Shirt_값,5.8,5.8,5.8,5.8,5.8,5.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.6,5.6,5.6,5.6,5.6,5.2
카드_당시즌MU_아이템_T-Shirt_전년,5.9,5.9,5.9,5.9,5.9,5.9,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.8,5.8,5.8,5.8,5.8,5.8
카드_당시즌MU_아이템_Short_값,5,5,5,5,5,5,4.3,4.3,4.3,4.3,4.3,4.3,4.3,5.5,5.5,5.5,5.5,5.5,5
카드_당시즌MU_아이템_Short_전년,5.2,5.2,5.2,5.2,5.2,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.1,5.1,5.1,5.1,5.1,4.7
카드_기말재고_아이템_SS차기당시즌_값,,,,,,,,,,,,,"1,096","9,626","13,041","12,675","11,708","10,309","9,149"
카드_기말재고_아이템_SS차기시즌_전년,,,,,,,,,,,,,"14%[-6,623]"," 45% [-11,862]"," 58% [-9,486]"," 52% [-11,495]"," 52% [-10,729]","51%   [-10,076]","48%   [-9,716]"
카드_기말재고_아이템_FW당시즌_값,0,0,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868","15,112","14,028","13,177","12,617","11,061","10,804"
카드_기말재고_아이템_FW당시즌_전년,,,,,,632%[+377],75%[-2644],113%[+1776],154%[+7159],150%[+6534],154%[+5999],"157%[+5,016]","169%[+5,273]"," 201% [+7,588]"," 202% [+7,099]"," 268% [8,269]"," 219% [6,863]","196%   [5,407]","257%   [+6,598]"
카드_기말재고_아이템_SS당시즌_값,"7,721","21,488","22,527","24,170","22,346","20,321","18,817","17,097","15,457","13,185","9,610","6,766","5,547","5,185","5,068","4,734","3,988","3,240","2,326"
카드_기말재고_아이템_SS당시즌_전년,87%[-1154],156%[+7714],187%[+10480],238%[+14015],268%[+14008],302%[+13592],328%[+13080],395%[+12769],446%[+11991],494%[+10516],409%[+7260],"508%[+5,434]","483%[+4,399]"," 563% [+4,264]"," 569% [+4,176]", 409% [+3576]," 371% [+2,914]","345%   [2,300]","299%   [+1,548]"
카드_기말재고_아이템_FW과시즌_값,"8,209","6,283","5,936","5,320","4,920","4,615","3,781","2,964","2,601","2,197","1,831","1,221",849,"1,072",952,862,579,624,
카드_기말재고_아이템_FW과시즌_전년,122%[+1480],135%[+1629],183%[+2692],191%[+2535],250%[+2952],282%[+2978],249%[+2263],248%[+1769],241%[+1522],235%[+1262],171%[+760],187%[+568],138%[+236], 192% [+513], 172% [+397], 161% [+325], 111% [+59],125%   [123],
카드_기말재고_아이템_SS과시즌_값,"1,234",925,887,"1,224","1,064",927,764,638,532,375,415,277,204,208,181,155,109,120,
카드_기말재고_아이템_SS과시즌_전년,110%[+112],210%[+485],121%[+154],561%[+1006],794%[+930],806%[+812],344%[+542],491%[+508],463%[+417],338%[+264],324%[+287],295%[+183],237%[+118], 259% [+128], 251% [+110], 236% [+89], 188% [+51],235%   [69],
카드_기말재고_아이템_CORE_값,896,"1,409","1,406","1,585","1,546","1,500","1,697","2,082","2,880","3,418","2,113","1,033",584,637,610,635,812,713,602
카드_기말재고_아이템_CORE_전년,84%[-171],187%[+656],255%[+855],330%[+1105],414%[+1173],505%[+1203],290%[+1112],454%[+1623],254%[+1746],253%[+2067],162%[+809],104%[+37],65%[-312], 45% [-772], 43% [-796], 40% [-950], 53% [-734],48%   [-786],"35%   [-1,111]"
카드_기말재고_아이템_26FW_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,419"
카드_기말재고_아이템_26FW_전년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68%   [-2,514]"
카드_기말재고_아이템_과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,588"
카드_기말재고_아이템_과시즌_전년,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"306%   [+1,069]"
카드_기말재고_값,"18,060","30,105","30,882","32,423","30,025","27,812","32,991","38,217","41,887","38,777","31,076","23,133","21,148","31,839","33,880","32,237","29,813","26,067","29,888"
카드_기말재고_전년비교,247,"10,442","14,302","18,791","19,193","18,963","14,406","18,451","22,800","20,678","15,640","12,658","18,059","31,981","32,507","32,423","31,389","29,037","33,999"
카드_기말재고_YOY,101%,288%,216%,173%,156%,147%,229%,207%,184%,188%,199%,183%,117%,100%,104%,99%,95%,90%,88%
카드_인원수_값,26,29,29,28,27,26,27,27,26,26,26,26,26,26,27,27,25,25,25
카드_인원수_정규직,21,24,24,23,22,21,22,22,21,21,21,21,21,21,22,22,20,20,19
카드_인원수_계약직,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
카드_인원수_전년비교,29,30,29,29,28,28,29,29,29,27,27,28,26,29,29,29,27,26,27
카드_인원수_YOY,90%,97%,100%,97%,96%,93%,93%,93%,90%,96%,"96% 정규21,계약5","92% 정규21,계약5","100% 정규21,계약5","90% 정규21,계약5","93% 정규22,계약5","93% 정규22,계약5","93% 정규20,계약5","96% 정규20,계약5","93% 정규19, 계약 6"
카드_인원수_인당인건비_값,12,9,10,10,11,11,13,11,11,11,10,13,12,12,10,11,11,11,11
카드_인원수_인당인건비_YOY,130%,129%,110%,116%,117%,149%,113%,116%,111%,95%,85%,92%,84%,109%,101%,107%,93%,93%,96%
카드_인원수_인당매출액_값,51,43,63,58,63,65,60,59,65,74,116,272,47,41,45,50,69,53,55
카드_인원수_인당매출액_YOY,93%,81%,99%,86%,93%,131%,146%,98%,109%,120%,165%,334%,91%,95%,73%,89%,111%,82%,110%
카드_인원수_인당영업비_값,24,18,24,20,20,24,23,22,21,25,20,22,22,19,14,26,18,28,22
카드_인원수_인당영업비_YOY,144%,114%,257%,110%,99%,147%,97%,106%,104%,101%,77%,62%,91%,106%,61%,134%,90%,117%,96%
차트_채널별매출추세_US홀세일,89,178,274,210,73,37,63,166,172,202,34,17,6,108,113,132,79,47,122
차트_채널별매출추세_US홀세일_YOY,36%,60%,84%,65%,43%,65%,71%,42%,44%,115%,85%,64%,6%,61%,41%,63%,109%,127%,194%
차트_채널별매출추세_USEC,"1,069",957,"1,373","1,267","1,489","1,559","1,386","1,226","1,396","1,615","2,839","3,327","1,154",934,"1,032","1,022","1,578","1,218","1,167"
차트_채널별매출추세_USEC_YOY,93%,88%,107%,95%,113%,135%,160%,110%,129%,129%,174%,170%,108%,98%,75%,81%,106%,78%,84%
차트_채널별매출추세_EUEC,90,65,87,94,83,69,87,42,30,48,54,70,53,25,25,32%,32,35,26
차트_채널별매출추세_EUEC_YOY,60%,53%,52%,46%,47%,53%,70%,36%,18%,32%,34%,40%,60%,39%,29%,34%,39%,51%,30%
차트_채널별매출추세_라이선스,89,46,83,62,51,34,96,52,92,70,77,121,0,0,47,182%,0,44,57
차트_채널별매출추세_라이선스_YOY,156%,81%,146%,59%,92%,61%,80%,50%,100%,70%,125%,107%,0%,0%,48%,294%,0%,129%,59%
차트_채널별매출추세_TOTAL_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,159%,155%,91%,86%,67%,84%,99%,79%,84%
차트_아이템별매출추세_26FW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37
차트_아이템별매출추세_26FW_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58%
차트_아이템별매출추세_과시즌,862,704,718,472,338,263,486,257,213,221,203,21,104,47,54,44,58,27,46
차트_아이템별매출추세_과시즌_YOY,135%,108%,130%,106%,102%,212%,382%,263%,417%,373%,381%,15%,548%,317%,386%,81%,1095%,661%,325%
차트_아이템별매출추세_26SS,0,0,0,0,0,0,0,0,0,0,0,0,52,331,414,510,719,754,693
차트_아이템별매출추세_26SS_YOY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,82%,48%,50%,60%,56%,75%
차트_아이템별매출추세_25FW,0,0,0,0,0,0,154,287,421,617,"1,305","1,690",704,533,559,456,574,313,293
차트_아이템별매출추세_25FW_YOY,0%,0%,0%,0%,0%,0%,74%,40%,45%,67%,110%,160%,89%,93%,85%,122%,203%,152%,67%
차트_아이템별매출추세_25SS,201,403,921,"1,002","1,219","1,306",871,797,814,842,"1,054",800,350,126,107,149,287,176,229
차트_아이템별매출추세_25SS_YOY,48%,86%,185%,202%,355%,565%,501%,458%,468%,206%,309%,869%,192%,81%,173%,234%,386%,269%,360%
차트_아이템별매출추세_FW과시즌,791,654,656,406,266,199,424,212,152,180,174,2,88,41,46,38,51,23,24
차트_아이템별매출추세_FW과시즌_YOY,131%,107%,130%,104%,87%,171%,347%,258%,316%,383%,371%,674%,629%,458%,511%,139%,1066%,598%,332%
차트_아이템별매출추세_SS과시즌,71,50,62,66,72,64,62,45,61,41,29,19,16,6,8,6,7,4,22
차트_아이템별매출추세_SS과시즌_YOY,204%,127%,136%,122%,290%,811%,1199%,287%,2019%,336%,454%,14%,320%,102%,160%,22%,1363%,1688%,311%
차트_아이템별매출추세_CORE,274,138,178,158,139,130,120,145,241,185,364,711,54,33,36,25,57,27,17
차트_아이템별매출추세_CORE_YOY,629%,143%,44%,26%,17%,14%,25%,59%,259%,94%,155%,266%,57%,51%,60%,53%,108%,55%,44%
차트_아이템별매출추세_TOTAL_YOY,81%,80%,98%,84%,99%,124%,142%,88%,98%,118%,160%,158%,91%,86%,68%,84%,85,78%,84%
차트_아이템별재고추세_25FW,0,0,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868","15,112","14,028","13,177","12,617","11,061","10,804"
차트_아이템별재고추세_25SS,"7,720","21,488","22,527","24,170","22,438","20,385","18,866","17,108","15,435","13,194","9,610","6,770","5,547","5,185","5,068","4,734","3,988","3,240","2,326"
차트_아이템별재고추세_26FW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,419"
차트_아이템별재고추세_26FW_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68%
차트_아이템별재고추세_과시즌,"10,742","8,444","7,820","7,354","6,677","6,146","4,985","3,957","3,030","2,788","2,246","1,498","1,053","1,280","1,133","1,017",688,744,"1,588"
차트_아이템별재고추세_과시즌_YOY,120%,140%,173%,215%,281%,313%,260%,270%,264%,245%,187%,173%,150%,200%,181%,169%,119%,135%,306%
차트_아이템별재고추세_26SS,,,,,,,,,,,,,"1,096","9,626","13,041","12,675","11,708","10,309","9,149"
차트_아이템별재고추세_26SS_YOY,,,,,,,,,,,,,14%,45%,58%,52%,52%,51%,48%
차트_아이템별재고추세_FW과시즌,"9,507","7,523","6,929","6,122","5,605","5,206","4,206","3,309","2,489","2,406","1,831","1,221",849,"1,072",952,862,579,624,
차트_아이템별재고추세_SS과시즌,"1,235",921,891,"1,232","1,072",940,779,648,541,382,415,277,204,208,181,155,109,120,
차트_아이템별재고추세_CORE,"1,596","2,048","2,034","2,187","2,125","2,058","2,216","2,602","3,844","3,193",2113,"1,033",584,637,610,635,812,713,602
차트_아이템별재고추세_25FW_YOY,0%,0%,0%,0%,0%,632%,75%,113%,154%,150%,154%,187%,169%,201%,202%,300%,219%,196%,257%
차트_아이템별재고추세_25SS_YOY,87%,156%,187%,238%,268%,302%,328%,395%,446%,494%,409%,295%,75%,563%,569%,409%,371%,345%,299%
차트_아이템별재고추세_FW과시즌_YOY,122%,135%,183%,191%,250%,282%,249%,248%,241%,235%,171%,157%,138%,192%,172%,161%,111%,125%,
차트_아이템별재고추세_SS과시즌_YOY,110%,210%,121%,561%,794%,806%,344%,491%,463%,338%,324%,322%,237%,259%,251%,236%,188%,235%,
차트_아이템별재고추세_CORE_YOY,84%,187%,255%,330%,414%,505%,290%,454%,254%,253%,162%,104%,65%,45%,43%,40%,53%,48%,35%
차트_아이템별재고추세_TOTAL_YOY,101%,288%,216%,173%,156%,147%,229%,207%,184%,188%,199%,183%,117%,100%,104%,99%,95%,90%,87%
팝업_재고소진계획_26FW_3월,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,419"
팝업_재고소진계획_과시즌_3월,,,"6,823","6,544","5,984","5,542","4,545","3,602","3,109","2,572","2,246","1,498","1,053","1,280","1,133","1,017",688,744,"1,588"
팝업_재고소진계획_fw25_3월,,,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868","15,112","14,028","13,177","12,617","11,061","10,804"
팝업_재고소진계획_ss25_3월,,,"22,527","24,170","22,346","20,321","18,817","17,072","15,439","13,172","9,610","6,770","5,547","5,185","5,068","4,734","3,988","3,240","2,326"
팝업_재고소진계획_FW과시즌_3월,,,"5,936","5,320","4,920","4,615","3,781","2,964","2,601","2,197","1,831","1,221",849,"1,072",952,862,579,624,
팝업_재고소진계획_SS과시즌_3월,,,887,"1,224","1,064",927,764,638,508,375,415,277,204,208,181,155,109,120,
팝업_재고소진계획_CORE_3월,,,"1,406","1,585","1,546","1,500","1,697","2,082","2,880","3,430","2,113","1,033",584,637,610,635,812,713,602
팝업_재고소진계획_26SS_3월,,,0,0,0,0,0,0,0,0,0,0,"1,096","9,626","13,041","12,675","11,708","10,309","9,149"
팝업_재고소진계획_테이블_3월,,,"30,882","32,423","30,025","27,812","32,991","38,192","41,844","38,777","31,076","23,133","21,148","31,839","33,880","32,238","29,813","26,067","30,352"
