구분,기초,상품매입,판매,기말,증감,판매율
합계,"23,133","33,009","41,838","14,304","-8,829",
YOY,157%,0,,59%,,
CORE,"1,033","1,552","1,371","1,214",,
26FW,0,"12,978","6,957","6,021",,54%
26SS,4,"14,364","12,067","2,301",,84%
25FW,"13,830","3,727","12,812","4,745",,
과시즌,"8,266",388,"8,631",23,,
