계정과목,상세내용
기초잔액,전월말 현금 잔액
로열티수금,STO로부터 로열티 수금
비용지출,
인건비,직원 급여 및 복리후생비
운임,제품 운송비용
기타지출,기타 영업비용
Net Cash,로열티수금과 비용지출의 순현금흐름
기말잔액,당월말 현금 잔액
