계정과목,상세내용
현금잔액,현재 보유 현금
본사차입(SPA),본사로부터 SPA 관련 차입금 잔액
본사차입(운영자금),본사로부터 운영자금 차입금 잔액
본사차입잔액,본사 차입금 총 잔액
