Week,SEM광고비,반품포함매출,반품제외매출,반품포함_비율,반품제외_비율
Week 1,"100,425","353,110","394,436",28%,25%
Week 2,"79,138","233,625","290,825",34%,27%
Week 3,"40,245","237,502","279,687",17%,14%
Week 4,"60,070","290,758","335,705",21%,18%
