계정과목,25년(기말),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,26년(계획),26년(기말),전년대비
매출채권,371,440,519,606,580,610,530,575,990,216,216,216,216,270,216,-154.74327
재고자산,"4,597","4,597","6,500","6,909","6,205","5,589","5,110","6,647","5,758","5,166","4,958","3,625","2,411","2,141","2,411","-2,186"
매입채무,"4,778","2,489","1,509","1,639","1,808","2,089","2,202","2,000","1,665","1,753","1,904","2,637","2,092","1,921","2,092","-2,686"
운전자본 합계,190,"2,548","5,510","5,876","4,977","4,110","3,438","5,223","5,083","3,629","3,271","1,204",536,"1,590",536,346
